"Valtiopäivien tunnus","Alkupäivä","Päättymispäivä","Vaalikausi"
1907,"22.5.1907","9.2.1908","http://ldf.fi/semparl/times/electoral-terms/e_1907-05-22-1908-07-31"
"1908 I","10.2.1908","31.7.1908","http://ldf.fi/semparl/times/electoral-terms/e_1907-05-22-1908-07-31"
"1908 II","1.8.1908","15.2.1909","http://ldf.fi/semparl/times/electoral-terms/e_1908-08-01-1909-05-31"
"1909 I","16.2.1909","31.5.1909","http://ldf.fi/semparl/times/electoral-terms/e_1908-08-01-1909-05-31"
"1909 II","1.6.1909","28.2.1910","http://ldf.fi/semparl/times/electoral-terms/e_1909-06-01-1910-02-28"
"1910 v","1.3.1910","13.9.1910","http://ldf.fi/semparl/times/electoral-terms/e_1910-03-01-1911-01-31"
"1910 y","14.9.1910","31.1.1911","http://ldf.fi/semparl/times/electoral-terms/e_1910-03-01-1911-01-31"
1911,"1.2.1911","29.2.1912","http://ldf.fi/semparl/times/electoral-terms/e_1911-02-01-1914-02-01"
1912,"1.3.1912","31.1.1913","http://ldf.fi/semparl/times/electoral-terms/e_1911-02-01-1914-02-01"
1913,"1.2.1913","1.2.1914","http://ldf.fi/semparl/times/electoral-terms/e_1911-02-01-1914-02-01"
1914,"2.2.1914","3.4.1917","http://ldf.fi/semparl/times/electoral-terms/e_1914-02-02-1917-04-03"
"1917 I","4.4.1917","31.10.1917","http://ldf.fi/semparl/times/electoral-terms/e_1917-04-04-1917-10-31"
"1917 II","1.11.1917","25.9.1918","http://ldf.fi/semparl/times/electoral-terms/e_1917-11-01-1919-03-31"
"1918 v","5.11.1918","31.3.1919","http://ldf.fi/semparl/times/electoral-terms/e_1917-11-01-1919-03-31"
"1918 y","26.9.1918","4.11.1918","http://ldf.fi/semparl/times/electoral-terms/e_1917-11-01-1919-03-31"
1919,"1.4.1919","17.3.1920","http://ldf.fi/semparl/times/electoral-terms/e_1919-04-01-1922-09-04"
1920,"18.3.1920","29.3.1921","http://ldf.fi/semparl/times/electoral-terms/e_1919-04-01-1922-09-04"
1921,"30.3.1921","4.9.1922","http://ldf.fi/semparl/times/electoral-terms/e_1919-04-01-1922-09-04"
1922,"5.9.1922","31.1.1923","http://ldf.fi/semparl/times/electoral-terms/e_1922-09-05-1924-04-30"
1923,"1.2.1923","30.4.1924","http://ldf.fi/semparl/times/electoral-terms/e_1922-09-05-1924-04-30"
1924,"1.5.1924","1.2.1925","http://ldf.fi/semparl/times/electoral-terms/e_1924-05-01-1927-09-01"
1925,"2.2.1925","31.1.1926","http://ldf.fi/semparl/times/electoral-terms/e_1924-05-01-1927-09-01"
1926,"1.2.1926","1.9.1927","http://ldf.fi/semparl/times/electoral-terms/e_1924-05-01-1927-09-01"
1927,"2.9.1927","31.1.1928","http://ldf.fi/semparl/times/electoral-terms/e_1927-09-02-1929-07-31"
1928,"1.2.1928","31.1.1929","http://ldf.fi/semparl/times/electoral-terms/e_1927-09-02-1929-07-31"
"1929 I","1.2.1929","31.7.1929","http://ldf.fi/semparl/times/electoral-terms/e_1927-09-02-1929-07-31"
"1929 II","1.8.1929","31.1.1930","http://ldf.fi/semparl/times/electoral-terms/e_1929-08-01-1930-10-20"
"1930 I","1.2.1930","20.10.1930","http://ldf.fi/semparl/times/electoral-terms/e_1929-08-01-1930-10-20"
"1930 II","21.10.1930","1.2.1931","http://ldf.fi/semparl/times/electoral-terms/e_1930-10-21-1933-08-31"
1931,"2.2.1931","18.1.1932","http://ldf.fi/semparl/times/electoral-terms/e_1930-10-21-1933-08-31"
"1932 v","1.2.1932","31.8.1933","http://ldf.fi/semparl/times/electoral-terms/e_1930-10-21-1933-08-31"
"1932 y","19.1.1932","31.1.1932","http://ldf.fi/semparl/times/electoral-terms/e_1930-10-21-1933-08-31"
1933,"1.9.1933","31.1.1934","http://ldf.fi/semparl/times/electoral-terms/e_1933-09-01-1936-08-31"
1934,"1.2.1934","16.1.1935","http://ldf.fi/semparl/times/electoral-terms/e_1933-09-01-1936-08-31"
"1935 v","1.2.1935","31.8.1936","http://ldf.fi/semparl/times/electoral-terms/e_1933-09-01-1936-08-31"
"1935 y","17.1.1935","31.1.1935","http://ldf.fi/semparl/times/electoral-terms/e_1933-09-01-1936-08-31"
1936,"1.9.1936","31.1.1937","http://ldf.fi/semparl/times/electoral-terms/e_1936-09-01-1939-08-31"
1937,"1.2.1937","31.1.1938","http://ldf.fi/semparl/times/electoral-terms/e_1936-09-01-1939-08-31"
1938,"1.2.1938","31.8.1939","http://ldf.fi/semparl/times/electoral-terms/e_1936-09-01-1939-08-31"
1939,"1.9.1939","31.1.1940","http://ldf.fi/semparl/times/electoral-terms/e_1939-09-01-1945-04-05"
1940,"1.2.1940","31.1.1941","http://ldf.fi/semparl/times/electoral-terms/e_1939-09-01-1945-04-05"
1941,"1.2.1941","1.2.1942","http://ldf.fi/semparl/times/electoral-terms/e_1939-09-01-1945-04-05"
1942,"2.2.1942","31.1.1943","http://ldf.fi/semparl/times/electoral-terms/e_1939-09-01-1945-04-05"
1943,"1.2.1943","31.1.1944","http://ldf.fi/semparl/times/electoral-terms/e_1939-09-01-1945-04-05"
1944,"1.2.1944","5.4.1945","http://ldf.fi/semparl/times/electoral-terms/e_1939-09-01-1945-04-05"
1945,"6.4.1945","31.1.1946","http://ldf.fi/semparl/times/electoral-terms/e_1945-04-06-1948-07-21"
1946,"1.2.1946","3.2.1947","http://ldf.fi/semparl/times/electoral-terms/e_1945-04-06-1948-07-21"
1947,"4.2.1947","21.7.1948","http://ldf.fi/semparl/times/electoral-terms/e_1945-04-06-1948-07-21"
1948,"22.7.1948","31.1.1949","http://ldf.fi/semparl/times/electoral-terms/e_1948-07-22-1951-07-20"
1949,"1.2.1949","31.1.1950","http://ldf.fi/semparl/times/electoral-terms/e_1948-07-22-1951-07-20"
1950,"1.2.1950","20.7.1951","http://ldf.fi/semparl/times/electoral-terms/e_1948-07-22-1951-07-20"
1951,"21.7.1951","31.1.1952","http://ldf.fi/semparl/times/electoral-terms/e_1951-07-21-1954-03-28"
1952,"1.2.1952","1.2.1953","http://ldf.fi/semparl/times/electoral-terms/e_1951-07-21-1954-03-28"
1953,"2.2.1953","28.3.1954","http://ldf.fi/semparl/times/electoral-terms/e_1951-07-21-1954-03-28"
1954,"29.3.1954","31.1.1955","http://ldf.fi/semparl/times/electoral-terms/e_1954-03-29-1958-07-21"
1955,"1.2.1955","6.2.1956","http://ldf.fi/semparl/times/electoral-terms/e_1954-03-29-1958-07-21"
1956,"7.2.1956","31.1.1957","http://ldf.fi/semparl/times/electoral-terms/e_1954-03-29-1958-07-21"
1957,"1.2.1957","21.7.1958","http://ldf.fi/semparl/times/electoral-terms/e_1954-03-29-1958-07-21"
1958,"22.7.1958","9.2.1959","http://ldf.fi/semparl/times/electoral-terms/e_1958-07-22-1962-02-19"
1959,"10.2.1959","31.1.1960","http://ldf.fi/semparl/times/electoral-terms/e_1958-07-22-1962-02-19"
1960,"1.2.1960","31.1.1961","http://ldf.fi/semparl/times/electoral-terms/e_1958-07-22-1962-02-19"
1961,"1.2.1961","19.2.1962","http://ldf.fi/semparl/times/electoral-terms/e_1958-07-22-1962-02-19"
1962,"20.2.1962","31.1.1963","http://ldf.fi/semparl/times/electoral-terms/e_1962-02-20-1966-04-04"
1963,"1.2.1963","2.2.1964","http://ldf.fi/semparl/times/electoral-terms/e_1962-02-20-1966-04-04"
1964,"3.2.1964","7.2.1965","http://ldf.fi/semparl/times/electoral-terms/e_1962-02-20-1966-04-04"
1965,"8.2.1965","4.4.1966","http://ldf.fi/semparl/times/electoral-terms/e_1962-02-20-1966-04-04"
1966,"5.4.1966","31.1.1967","http://ldf.fi/semparl/times/electoral-terms/e_1966-04-05-1970-03-22"
1967,"1.2.1967","31.1.1968","http://ldf.fi/semparl/times/electoral-terms/e_1966-04-05-1970-03-22"
1968,"1.2.1968","2.2.1969","http://ldf.fi/semparl/times/electoral-terms/e_1966-04-05-1970-03-22"
1969,"3.2.1969","22.3.1970","http://ldf.fi/semparl/times/electoral-terms/e_1966-04-05-1970-03-22"
1970,"23.3.1970","1.2.1971","http://ldf.fi/semparl/times/electoral-terms/e_1970-03-23-1972-01-21"
1971,"2.2.1971","21.1.1972","http://ldf.fi/semparl/times/electoral-terms/e_1970-03-23-1972-01-21"
1972,"22.1.1972","4.2.1973","http://ldf.fi/semparl/times/electoral-terms/e_1972-01-22-1975-09-26"
1973,"5.2.1973","3.2.1974","http://ldf.fi/semparl/times/electoral-terms/e_1972-01-22-1975-09-26"
1974,"4.2.1974","3.2.1975","http://ldf.fi/semparl/times/electoral-terms/e_1972-01-22-1975-09-26"
"1975 I","4.2.1975","26.9.1975","http://ldf.fi/semparl/times/electoral-terms/e_1972-01-22-1975-09-26"
"1975 II","27.9.1975","4.2.1976","http://ldf.fi/semparl/times/electoral-terms/e_1975-09-27-1979-03-23"
1976,"5.2.1976","31.1.1977","http://ldf.fi/semparl/times/electoral-terms/e_1975-09-27-1979-03-23"
1977,"1.2.1977","31.1.1978","http://ldf.fi/semparl/times/electoral-terms/e_1975-09-27-1979-03-23"
1978,"1.2.1978","23.3.1979","http://ldf.fi/semparl/times/electoral-terms/e_1975-09-27-1979-03-23"
1979,"24.3.1979","31.1.1980","http://ldf.fi/semparl/times/electoral-terms/e_1979-03-24-1983-03-25"
1980,"1.2.1980","2.2.1981","http://ldf.fi/semparl/times/electoral-terms/e_1979-03-24-1983-03-25"
1981,"3.2.1981","1.2.1982","http://ldf.fi/semparl/times/electoral-terms/e_1979-03-24-1983-03-25"
1982,"2.2.1982","25.3.1983","http://ldf.fi/semparl/times/electoral-terms/e_1979-03-24-1983-03-25"
1983,"26.3.1983","31.1.1984","http://ldf.fi/semparl/times/electoral-terms/e_1983-03-26-1987-03-20"
1984,"1.2.1984","4.2.1985","http://ldf.fi/semparl/times/electoral-terms/e_1983-03-26-1987-03-20"
1985,"5.2.1985","3.2.1986","http://ldf.fi/semparl/times/electoral-terms/e_1983-03-26-1987-03-20"
1986,"4.2.1986","20.3.1987","http://ldf.fi/semparl/times/electoral-terms/e_1983-03-26-1987-03-20"
1987,"21.3.1987","2.2.1988","http://ldf.fi/semparl/times/electoral-terms/e_1987-03-21-1991-03-21"
1988,"3.2.1988","31.1.1989","http://ldf.fi/semparl/times/electoral-terms/e_1987-03-21-1991-03-21"
1989,"1.2.1989","4.2.1990","http://ldf.fi/semparl/times/electoral-terms/e_1987-03-21-1991-03-21"
1990,"5.2.1990","21.3.1991","http://ldf.fi/semparl/times/electoral-terms/e_1987-03-21-1991-03-21"
1991,"22.3.1991","4.2.1992","http://ldf.fi/semparl/times/electoral-terms/e_1991-03-22-1995-03-23"
1992,"5.2.1992","8.2.1993","http://ldf.fi/semparl/times/electoral-terms/e_1991-03-22-1995-03-23"
1993,"9.2.1993","6.2.1994","http://ldf.fi/semparl/times/electoral-terms/e_1991-03-22-1995-03-23"
1994,"7.2.1994","23.3.1995","http://ldf.fi/semparl/times/electoral-terms/e_1991-03-22-1995-03-23"
1995,"24.3.1995","5.2.1996","http://ldf.fi/semparl/times/electoral-terms/e_1995-03-24-1999-03-23"
1996,"6.2.1996","2.2.1997","http://ldf.fi/semparl/times/electoral-terms/e_1995-03-24-1999-03-23"
1997,"3.2.1997","2.2.1998","http://ldf.fi/semparl/times/electoral-terms/e_1995-03-24-1999-03-23"
1998,"3.2.1998","23.3.1999","http://ldf.fi/semparl/times/electoral-terms/e_1995-03-24-1999-03-23"
1999,"24.3.1999","2.2.2000","http://ldf.fi/semparl/times/electoral-terms/e_1999-03-24-2003-03-18"
2000,"3.2.2000","31.1.2001","http://ldf.fi/semparl/times/electoral-terms/e_1999-03-24-2003-03-18"
2001,"1.2.2001","3.2.2002","http://ldf.fi/semparl/times/electoral-terms/e_1999-03-24-2003-03-18"
2002,"4.2.2002","18.3.2003","http://ldf.fi/semparl/times/electoral-terms/e_1999-03-24-2003-03-18"
2003,"19.3.2003","1.2.2004","http://ldf.fi/semparl/times/electoral-terms/e_2003-03-19-2007-03-20"
2004,"2.2.2004","31.1.2005","http://ldf.fi/semparl/times/electoral-terms/e_2003-03-19-2007-03-20"
2005,"1.2.2005","1.2.2006","http://ldf.fi/semparl/times/electoral-terms/e_2003-03-19-2007-03-20"
2006,"2.2.2006","20.3.2007","http://ldf.fi/semparl/times/electoral-terms/e_2003-03-19-2007-03-20"
2007,"21.3.2007","3.2.2008","http://ldf.fi/semparl/times/electoral-terms/e_2007-03-21-2011-04-19"
2008,"4.2.2008","2.2.2009","http://ldf.fi/semparl/times/electoral-terms/e_2007-03-21-2011-04-19"
2009,"3.2.2009","1.2.2010","http://ldf.fi/semparl/times/electoral-terms/e_2007-03-21-2011-04-19"
2010,"2.2.2010","19.4.2011","http://ldf.fi/semparl/times/electoral-terms/e_2007-03-21-2011-04-19"
2011,"20.4.2011","5.2.2012","http://ldf.fi/semparl/times/electoral-terms/e_2011-04-20-2015-04-21"
2012,"6.2.2012","3.2.2013","http://ldf.fi/semparl/times/electoral-terms/e_2011-04-20-2015-04-21"
2013,"4.2.2013","2.2.2014","http://ldf.fi/semparl/times/electoral-terms/e_2011-04-20-2015-04-21"
2014,"3.2.2014","21.4.2015","http://ldf.fi/semparl/times/electoral-terms/e_2011-04-20-2015-04-21"
2015,"22.4.2015","1.2.2016","http://ldf.fi/semparl/times/electoral-terms/e_2015-04-22-2019-04-16"
2016,"2.2.2016","31.1.2017","http://ldf.fi/semparl/times/electoral-terms/e_2015-04-22-2019-04-16"
2017,"1.2.2017","4.2.2018","http://ldf.fi/semparl/times/electoral-terms/e_2015-04-22-2019-04-16"
2018,"5.2.2018","16.4.2019","http://ldf.fi/semparl/times/electoral-terms/e_2015-04-22-2019-04-16"
2019,"17.4.2019","3.2.2020","http://ldf.fi/semparl/times/electoral-terms/e_2019-04-17-2023-04-04"
2020,"4.2.2020","1.2.2021","http://ldf.fi/semparl/times/electoral-terms/e_2019-04-17-2023-04-04"
2021,"2.2.2021","31.1.2022","http://ldf.fi/semparl/times/electoral-terms/e_2019-04-17-2023-04-04"
2022,"1.2.2022","4.4.2023","http://ldf.fi/semparl/times/electoral-terms/e_2019-04-17-2023-04-04"
2023,"5.4.2023","5.2.2024","http://ldf.fi/semparl/times/electoral-terms/e_2023-04-05-2027-04-30"
2024,"6.2.2024","3.2.2025","http://ldf.fi/semparl/times/electoral-terms/e_2023-04-05-2027-04-30"
